EmployeeID,TotalMonthsOfExp,TotalOrgsWorked,MonthsInOrg,LastPayIncrementBand,AverageFeedback,LastPromotionYears,Attrition
138,60,2,55,4,4,3,0
139,17,4,0,1,1,1,0
140,108,5,32,2,1,2,0
141,81,5,8,5,1,4,1
142,117,3,3,4,2,1,0
143,82,4,51,2,2,3,0
144,43,4,4,2,2,3,0
145,111,5,30,4,1,1,0
146,60,3,21,5,4,1,0
147,71,2,66,2,2,4,1
148,108,1,54,3,3,2,0
149,26,1,1,4,2,3,0
150,99,2,55,4,3,2,0
151,15,1,13,4,1,3,0
152,83,2,51,5,1,1,0
153,72,2,64,4,4,2,0
154,61,4,43,3,4,1,0
155,37,3,16,1,4,1,0
156,21,3,13,5,4,3,0
157,69,5,52,5,1,1,0
158,82,5,15,4,1,4,1
159,81,2,64,2,2,1,0
160,96,2,89,1,1,3,0
161,60,4,5,3,1,3,0
162,98,1,56,4,4,3,0
163,84,3,50,4,1,1,0
164,8,1,5,5,3,2,0
165,9,5,4,5,2,4,1
166,39,5,13,1,3,1,0
167,99,4,14,5,4,3,0
168,12,3,4,1,2,3,0
169,84,5,20,4,4,1,0
170,97,3,52,2,2,3,0
171,42,5,11,5,2,1,0
172,107,3,6,4,3,3,0
173,62,5,23,1,3,1,0
174,40,2,27,5,3,2,0
175,31,1,26,4,3,1,0
176,100,4,95,1,4,1,0
177,34,4,5,4,3,1,0
178,60,2,20,3,3,3,0
179,34,3,2,1,1,2,0
180,49,2,5,4,1,3,0
181,93,1,5,5,2,4,1
182,20,5,14,1,1,4,1
183,46,1,6,2,1,2,0
184,14,2,13,5,1,2,0
185,119,2,62,2,4,3,0
186,20,2,10,2,1,2,0
187,14,1,5,1,1,1,0
188,42,2,9,1,1,2,0
189,30,5,29,5,1,1,0
190,50,3,23,2,4,4,1
191,29,4,25,2,2,1,0
192,111,5,68,4,3,4,1
193,76,4,32,4,2,1,0
194,25,2,9,5,2,1,0
195,114,3,20,1,2,4,1
196,23,5,4,5,2,1,0
197,100,2,42,5,4,2,0
198,30,2,7,1,1,3,0
199,80,5,38,4,1,4,1
200,29,5,5,5,1,4,1
201,112,1,20,2,3,3,0
202,118,4,78,2,2,1,0
203,92,3,61,4,1,3,0
204,27,5,7,3,2,2,0
205,105,2,28,2,2,2,0
206,23,3,5,5,3,2,0
207,88,5,38,5,1,4,1
208,9,1,6,5,4,1,0
209,55,2,20,4,1,4,1
210,51,3,14,3,1,1,0
211,92,1,25,5,1,3,0
212,118,2,45,2,2,1,0
213,3,5,2,3,3,2,0
214,1,1,1,4,1,4,1
215,68,4,55,3,2,1,0
216,51,2,0,3,4,1,0
217,105,3,49,2,2,4,1
218,61,1,3,4,4,1,0
219,7,3,3,1,4,1,0
220,93,2,88,4,2,1,0
221,42,3,22,5,4,2,0
222,59,5,48,5,3,4,1
223,90,2,86,2,1,4,1
224,85,5,50,4,1,1,0
225,7,2,2,3,2,4,1
226,14,3,7,5,4,4,1
227,32,1,27,4,3,2,0
228,21,4,9,4,3,3,0
229,63,5,57,5,1,3,0
230,55,1,26,2,3,1,0
231,80,3,13,2,3,2,0
232,24,5,7,2,1,3,0
233,73,4,36,2,4,2,0
234,114,5,43,1,4,1,0
235,80,5,66,1,3,2,0
236,25,4,24,4,4,3,0
237,8,2,3,4,1,4,1
238,87,3,70,1,4,4,1
239,36,4,35,4,1,1,0
240,54,4,38,3,3,1,0
241,88,2,48,5,2,3,0
242,106,3,64,5,3,3,0
243,86,1,23,4,4,4,1
244,75,4,32,1,3,2,0
245,105,5,25,4,1,4,1
246,14,4,13,3,1,4,1
247,61,3,40,4,4,4,1
248,99,5,8,3,1,4,1
249,10,3,7,5,3,2,0
250,62,3,6,4,1,2,0
251,85,1,77,2,3,3,0
252,105,5,73,3,3,4,1
253,32,5,6,4,4,4,1
254,72,5,61,3,2,3,0
255,105,3,22,5,1,3,0
256,79,3,8,5,3,2,0
257,8,5,4,2,1,2,0
258,40,4,24,5,4,1,0
259,17,1,12,4,4,4,1
260,90,4,11,2,1,3,0
261,92,5,5,3,3,1,0
262,43,3,2,2,1,2,0
263,61,2,60,5,2,2,0
264,85,1,52,1,2,3,0
265,60,4,14,5,4,2,0
266,3,1,2,1,4,3,0
267,115,5,8,5,2,1,0
268,51,4,2,5,1,1,0
269,31,4,13,1,3,1,0
270,90,5,76,1,3,2,0
271,72,5,33,3,4,3,0
272,32,5,22,3,3,4,1
273,94,1,36,2,3,1,0
274,117,5,1,4,2,1,0
275,65,4,25,4,4,1,0
276,70,3,47,4,1,3,0
277,17,1,11,5,4,3,0
278,79,2,47,4,1,4,1
279,93,4,76,1,3,1,0
280,117,1,97,1,1,1,0
281,52,4,50,4,1,4,1
282,115,4,95,4,2,4,1
283,68,2,66,5,1,4,1
284,32,4,28,4,2,4,1
285,61,2,58,4,2,4,1
286,7,3,3,1,4,2,0
287,48,4,21,5,4,4,1
288,119,4,35,2,2,1,0
289,52,5,38,5,4,4,1
290,65,3,22,2,3,4,1
291,106,5,66,3,2,2,0
292,91,3,56,2,2,2,0
293,108,2,59,1,4,3,0
294,58,1,14,5,1,3,0
295,102,4,17,5,2,2,0
296,6,1,2,2,3,1,0
297,87,1,39,2,2,1,0
298,110,5,37,1,1,1,0
299,105,2,25,1,4,2,0
300,17,1,15,1,3,3,0
301,100,2,68,2,3,3,0
302,41,2,21,5,4,1,0
303,101,3,35,2,1,2,0
304,14,1,10,2,1,2,0
305,80,2,38,4,4,2,0
306,108,2,32,1,1,2,0
307,93,2,72,5,4,2,0
308,65,1,8,3,1,2,0
309,21,2,15,5,2,4,1
310,54,3,39,3,3,1,0
311,22,1,13,4,3,2,0
312,24,1,12,1,4,1,0
313,15,2,2,3,3,4,1
314,77,2,37,3,2,2,0
315,49,4,23,3,1,2,0
316,57,2,7,3,1,4,1
317,96,1,56,5,4,1,0
318,32,5,30,1,1,1,0
319,51,3,19,1,4,2,0
320,58,1,12,3,4,1,0
321,120,5,82,3,4,4,1
322,59,4,14,2,3,2,0
323,5,5,2,5,4,2,0
324,71,2,8,3,2,2,0
325,15,3,11,5,4,2,0
326,29,1,19,4,4,1,0
327,57,2,15,5,2,4,1
328,6,1,3,1,3,3,0
329,110,5,49,4,3,3,0
330,22,4,12,2,4,3,0
331,117,3,34,5,4,4,1
332,36,5,4,2,4,3,0
333,50,4,38,3,4,4,1
334,93,5,86,2,1,2,0
335,36,1,8,4,1,3,0
336,19,4,12,3,3,1,0
337,71,5,6,4,1,1,0
338,36,5,23,5,2,1,0
339,38,1,22,5,3,3,0
340,9,3,7,2,3,2,0
341,10,2,1,5,2,3,0
342,59,4,26,4,2,1,0
343,15,2,1,4,4,3,0
344,37,3,3,1,1,1,0
345,26,5,4,5,2,2,0
346,23,5,22,5,2,2,0
347,16,2,16,4,4,1,0
348,5,5,5,5,4,4,1
349,102,3,80,1,3,1,0
350,43,3,17,3,1,1,0
351,12,5,2,3,1,1,0
352,60,2,38,2,2,3,0
353,74,4,13,5,1,1,0
354,119,5,47,3,4,2,0
355,62,2,21,3,2,3,0
356,107,3,10,1,4,1,0
357,7,4,4,4,1,4,1
358,112,3,6,5,4,4,1
359,26,3,18,4,4,3,0
360,6,3,2,5,1,3,0
361,104,1,58,5,4,3,0
362,36,4,18,3,4,4,1
363,106,2,30,5,1,4,1
364,107,3,83,2,2,3,0
365,13,2,10,4,3,1,0
366,47,3,30,5,4,2,0
367,61,5,4,5,2,4,1
368,38,5,19,4,1,2,0
369,5,5,0,4,4,2,0
370,108,3,108,4,3,1,0
371,24,2,24,3,3,2,0
372,107,3,38,4,3,2,0
373,61,3,30,3,1,3,0
374,37,4,2,3,2,2,0
375,82,5,13,4,2,1,0
376,110,3,58,1,3,4,1
377,20,1,1,1,1,3,0
378,82,2,60,3,3,3,0
379,3,4,3,2,3,2,0
380,114,1,56,3,4,4,1
381,76,2,8,4,4,4,1
382,39,5,22,4,4,4,1
383,47,4,35,5,1,3,0
384,70,1,24,1,4,3,0
385,119,4,101,4,2,3,0
386,64,1,41,1,3,1,0
387,43,4,28,3,1,2,0
388,35,2,35,4,3,2,0
389,108,3,32,1,1,3,0
390,37,4,23,5,3,4,1
391,13,1,11,5,4,3,0
392,31,2,26,1,4,2,0
393,29,2,14,2,4,2,0
394,42,2,22,5,4,2,0
395,62,4,52,3,4,2,0
396,81,4,77,4,2,2,0
397,9,4,5,2,1,2,0
398,19,3,4,1,1,2,0
399,10,4,4,4,3,4,1
400,22,5,0,2,1,2,0
401,55,3,50,3,1,2,0
402,77,1,35,3,4,2,0
403,110,3,30,2,4,3,0
404,73,5,39,4,4,2,0
405,94,1,74,3,4,4,1
406,90,3,5,2,2,3,0
407,108,4,108,1,4,4,1
408,88,4,10,4,4,3,0
409,28,1,19,2,4,3,0
410,79,2,71,5,4,3,0
411,61,1,47,3,1,3,0
412,115,1,101,4,3,4,1
413,38,2,3,3,4,3,0
414,120,2,113,3,4,1,0
415,17,2,17,5,1,4,1
416,81,5,67,3,4,2,0
417,28,5,13,5,2,4,1
418,12,2,10,3,2,2,0
419,88,5,29,4,1,4,1
420,89,5,75,3,1,3,0
421,115,5,71,5,1,2,0
422,71,3,50,1,4,4,1
423,120,1,22,4,2,2,0
424,54,1,23,4,3,4,1
425,108,5,107,4,4,3,0
426,25,3,19,2,1,1,0
427,54,1,28,3,4,2,0
428,91,1,64,1,3,1,0
429,28,3,9,1,1,3,0
430,60,2,34,4,4,3,0
431,98,3,78,3,3,4,1
432,8,5,7,4,2,4,1
433,66,4,36,3,1,2,0
434,71,4,65,2,2,1,0
435,38,3,11,4,1,4,1
436,97,4,18,3,4,1,0
437,78,2,45,2,4,4,1
438,53,4,14,4,4,3,0
439,63,2,56,2,1,1,0
440,104,3,29,3,4,3,0
441,97,5,54,4,4,4,1
442,115,2,89,3,3,4,1
443,47,5,15,4,4,2,0
444,32,4,16,4,4,2,0
445,59,2,34,1,1,1,0
446,15,4,1,3,4,1,0
447,21,2,6,2,1,4,1
448,62,5,10,2,1,2,0
449,29,2,21,4,3,4,1
450,68,1,7,1,4,2,0
451,2,4,1,5,1,4,1
452,38,3,27,3,3,4,1
453,66,4,51,3,2,4,1
454,45,2,8,2,3,2,0
455,29,5,17,1,3,1,0
456,115,2,98,4,2,1,0
457,11,1,2,5,4,2,0
458,1,1,0,2,1,2,0
459,96,4,11,2,3,2,0
460,90,2,24,4,4,2,0
461,21,3,19,5,2,3,0
462,11,3,6,1,3,2,0
463,82,1,50,4,2,2,0
464,78,1,76,4,2,4,1
465,84,3,59,1,1,1,0
466,76,5,16,5,2,2,0
467,86,2,7,3,2,3,0
468,27,2,24,5,4,3,0
469,78,4,55,5,3,2,0
470,116,2,91,1,1,1,0
471,53,2,44,5,2,4,1
472,29,1,8,4,4,3,0
473,37,1,13,4,3,2,0
474,69,3,32,5,1,1,0
475,83,4,49,3,2,2,0
476,54,3,45,5,4,2,0
477,92,5,5,3,1,4,1
478,12,4,5,3,3,2,0
479,90,1,39,3,1,3,0
480,94,3,49,2,2,4,1
481,65,1,50,2,4,3,0
482,113,2,12,3,4,1,0
483,112,1,35,3,1,1,0
484,60,5,26,1,1,1,0
485,20,3,16,5,3,4,1
486,7,5,7,5,3,3,0
487,108,5,50,4,3,1,0
488,73,4,15,3,3,1,0
489,91,3,47,2,1,2,0
490,28,4,18,3,1,1,0
491,44,2,22,2,1,3,0
492,72,1,44,2,4,1,0
493,32,3,28,3,3,1,0
494,49,1,42,4,4,3,0
495,59,4,17,4,4,2,0
496,117,3,115,4,4,3,0
497,54,3,3,4,3,2,0
498,70,2,69,2,2,4,1
499,101,4,74,2,1,1,0
500,113,5,89,2,4,1,0
501,101,5,86,5,1,2,0
502,112,3,52,1,4,1,0
503,6,4,4,4,4,4,1
504,36,3,19,3,4,1,0
505,36,3,31,4,2,1,0
506,67,3,18,1,2,4,1
507,53,4,31,1,2,2,0
508,95,4,74,2,4,4,1
509,102,5,58,4,2,3,0
510,4,4,4,4,2,2,0
511,62,5,40,5,3,2,0
512,25,3,17,1,2,2,0
513,25,3,7,5,3,1,0
514,33,5,19,4,2,4,1
515,111,5,38,1,3,4,1
516,71,4,39,2,3,1,0
517,2,1,2,2,2,2,0
518,43,1,6,4,4,1,0
519,75,5,36,5,4,4,1
520,116,2,116,5,3,3,0
521,45,5,21,4,1,4,1
522,24,3,18,1,2,2,0
523,65,3,17,2,4,1,0
524,99,2,8,4,3,1,0
525,69,1,42,4,3,1,0
526,92,3,23,2,3,4,1
527,102,3,63,4,1,3,0
528,77,1,2,3,2,4,1
529,39,5,35,4,3,4,1
530,107,3,26,3,2,1,0
531,35,4,20,5,1,2,0
532,48,3,39,5,1,3,0
533,117,4,116,2,3,2,0
534,107,2,5,2,4,1,0
535,38,1,25,1,3,4,1
536,15,5,1,2,2,1,0
537,76,4,16,1,4,4,1
538,81,2,69,4,2,1,0
539,39,5,17,4,1,2,0
540,1,3,1,4,2,1,0
541,65,3,17,1,2,3,0
542,56,2,7,3,2,1,0
543,96,4,21,2,1,2,0
544,48,3,34,3,2,1,0
545,107,2,85,4,2,4,1
546,82,2,62,4,3,2,0
547,52,3,43,4,1,2,0
548,55,2,22,5,1,2,0
549,32,4,11,3,2,2,0
550,68,5,43,4,4,3,0
551,72,1,33,3,2,4,1
552,59,3,15,3,4,3,0
553,107,3,87,4,2,3,0
554,93,3,32,4,4,4,1
555,117,5,106,1,3,3,0
556,114,3,75,1,1,1,0
557,21,4,7,3,1,4,1
558,23,4,22,3,3,4,1
559,6,4,6,4,4,2,0
560,102,1,22,1,4,2,0
561,3,1,1,4,4,2,0
562,5,1,3,3,2,2,0
563,68,1,59,3,3,1,0
564,18,4,4,2,4,1,0
565,31,5,21,2,2,2,0
566,64,5,18,2,2,4,1
567,84,5,76,1,3,4,1
568,57,4,53,2,4,2,0
569,51,2,9,5,4,1,0
570,47,3,6,3,1,1,0
571,82,4,14,4,3,4,1
572,14,3,11,1,3,3,0
573,103,5,33,5,2,1,0
574,30,3,4,3,4,2,0
575,67,4,31,2,2,3,0
576,31,1,26,3,4,4,1
577,30,4,12,3,2,1,0
578,82,2,74,4,1,3,0
579,49,4,47,1,4,1,0
580,76,2,64,5,1,1,0
581,77,2,2,4,3,2,0
582,73,3,34,5,4,2,0
583,14,2,12,1,2,3,0
584,60,2,5,3,2,2,0
585,64,3,6,5,2,2,0
586,120,2,55,4,3,3,0
587,118,5,94,3,4,1,0
588,68,4,37,3,4,2,0
589,39,5,26,3,3,1,0
590,18,5,5,4,1,3,0
591,97,1,11,2,3,3,0
592,30,4,6,4,4,4,1
593,107,2,54,1,3,3,0
594,100,3,86,3,2,1,0
595,104,3,90,5,2,2,0
596,39,5,16,2,4,4,1
597,42,4,26,1,4,2,0
598,50,1,48,3,2,3,0
599,41,2,13,5,3,4,1
600,57,3,27,2,1,2,0
601,103,3,72,5,3,1,0
602,30,5,26,3,3,1,0
603,25,3,19,1,2,3,0
604,42,2,13,3,1,2,0
605,65,2,58,2,3,2,0
606,27,2,14,3,3,3,0
607,3,1,1,1,2,4,1
608,67,1,30,3,3,4,1
609,97,3,80,2,2,4,1
610,40,4,9,4,3,4,1
611,94,2,54,5,1,1,0
612,75,4,71,3,1,1,0
613,67,1,5,5,2,1,0
614,29,5,6,4,2,3,0
615,62,1,49,3,2,3,0
616,44,4,39,3,1,4,1
617,60,4,36,4,3,3,0
618,85,1,72,2,3,4,1
619,114,5,14,3,4,1,0
620,15,1,5,4,4,4,1
621,34,1,17,3,1,2,0
622,36,2,31,5,4,1,0
623,34,5,28,5,3,3,0
624,114,2,100,2,3,3,0
625,3,2,0,3,3,1,0
626,89,5,5,2,3,1,0
627,66,4,32,3,1,3,0
628,72,1,2,1,4,3,0
629,9,5,8,4,2,4,1
630,19,3,4,3,4,4,1
631,16,3,13,5,1,3,0
632,54,1,40,3,4,2,0
633,69,3,30,4,4,4,1
634,39,1,3,5,3,4,1
635,77,5,42,4,1,2,0
636,29,1,24,5,2,1,0
637,4,4,2,3,3,1,0
638,62,2,6,1,3,2,0
639,21,2,6,5,2,1,0
640,108,3,41,3,4,2,0
641,115,4,69,2,3,1,0
642,109,2,80,4,3,3,0
643,109,1,89,2,2,3,0
644,14,1,8,1,4,4,1
645,2,5,2,4,4,1,0
646,70,2,20,2,2,2,0
647,36,1,32,3,2,4,1
648,73,1,25,1,2,3,0
649,34,5,1,3,4,2,0
650,48,3,33,5,2,1,0
651,87,4,15,2,3,2,0
652,22,1,19,4,2,3,0
653,65,2,48,4,3,2,0
654,58,5,15,2,1,1,0
655,23,4,22,1,3,4,1
656,5,5,1,2,3,3,0
657,15,1,10,1,4,3,0
658,87,4,33,4,3,3,0
659,32,4,11,2,4,4,1
660,16,3,9,1,3,2,0
661,23,1,9,3,4,4,1
662,66,1,59,2,1,2,0
663,6,2,3,2,1,3,0
664,43,1,18,4,3,2,0
665,30,2,4,1,1,2,0
666,87,5,2,4,4,3,0
667,10,1,8,2,2,4,1
668,32,1,27,4,1,2,0
669,6,1,2,3,2,4,1
670,104,4,89,4,1,2,0
671,33,4,17,5,4,1,0
672,71,3,55,1,3,1,0
673,7,2,7,5,4,3,0
674,55,5,36,1,1,2,0
675,112,2,104,1,3,1,0
676,6,5,2,3,4,3,0
677,83,4,31,1,4,2,0
678,50,5,25,1,2,3,0
679,66,5,30,3,2,4,1
680,39,4,13,4,1,3,0
681,71,1,40,5,3,2,0
682,52,1,23,5,1,1,0
683,95,3,24,1,3,4,1
684,90,5,58,5,2,1,0
685,28,4,26,4,4,1,0
686,14,2,2,4,4,3,0
687,20,3,12,1,3,1,0
688,36,3,27,2,3,4,1
689,63,3,55,1,2,4,1
690,30,3,21,3,2,1,0
691,110,4,46,5,4,1,0
692,18,2,13,3,1,3,0
693,46,3,6,5,4,4,1
694,110,4,65,2,1,2,0
695,70,4,46,5,4,1,0
696,86,5,53,4,4,1,0
697,96,4,94,1,4,3,0
698,102,4,17,4,2,3,0
699,74,3,31,1,3,1,0
700,6,3,1,4,1,2,0
701,52,2,46,5,2,1,0
702,78,4,59,4,1,2,0
703,108,3,42,3,2,2,0
704,110,3,76,3,4,4,1
705,17,5,4,1,1,1,0
706,67,2,16,2,2,4,1
707,71,3,49,5,4,4,1
708,23,3,19,2,4,1,0
709,107,5,98,3,3,1,0
710,67,1,2,4,4,1,0
711,52,3,43,1,3,3,0
712,104,1,77,5,4,4,1
713,22,1,16,1,1,3,0
714,96,3,95,1,2,1,0
715,30,4,27,1,1,4,1
716,6,5,4,1,4,1,0
717,88,5,70,1,3,3,0
718,98,2,80,1,2,1,0
719,73,4,27,3,4,2,0
720,40,1,26,5,3,1,0
721,107,5,101,2,3,2,0
722,39,4,10,2,1,2,0
723,109,4,55,3,1,3,0
724,26,1,4,2,4,3,0
725,43,1,11,4,3,3,0
726,111,5,104,4,4,3,0
727,5,5,2,4,4,2,0
728,33,3,7,3,2,3,0
729,5,1,4,4,3,1,0
730,78,3,50,1,4,3,0
731,92,5,90,4,2,3,0
732,2,3,1,2,4,3,0
733,42,4,1,4,3,2,0
734,66,5,5,1,1,3,0
735,6,4,5,2,2,3,0
736,67,1,38,3,1,1,0
737,1,1,1,3,1,2,0
738,46,4,20,1,1,2,0
739,117,5,19,4,1,2,0
740,43,3,8,3,2,3,0
741,117,1,97,2,3,1,0
742,63,5,54,5,4,2,0
743,15,4,12,3,3,2,0
744,101,2,64,3,1,1,0
745,55,2,39,5,2,4,1
746,103,4,23,3,4,3,0
747,15,2,6,2,4,2,0
748,103,1,27,4,1,4,1
749,79,1,27,2,3,4,1
750,107,3,10,5,4,3,0
751,5,3,0,2,2,1,0
752,72,3,11,1,2,1,0
753,68,2,65,1,3,3,0
754,59,5,36,2,2,3,0
755,106,5,53,2,4,4,1
756,76,5,9,2,4,3,0
757,90,3,81,3,1,1,0
758,59,3,59,1,4,1,0
759,85,4,44,5,1,1,0
760,5,2,1,5,1,3,0
761,53,1,10,5,1,1,0
762,14,5,9,2,3,4,1
763,3,5,3,4,4,4,1
764,108,2,62,5,2,4,1
765,89,3,53,5,1,3,0
766,93,4,28,4,4,1,0
767,100,4,21,1,4,1,0
768,61,3,53,4,1,1,0
769,2,5,1,1,2,2,0
770,97,4,32,2,1,4,1
771,60,5,38,3,2,3,0
772,42,5,18,5,3,3,0
773,17,1,9,1,1,4,1
774,72,2,31,3,3,4,1
775,41,3,26,4,1,3,0
776,10,3,10,3,3,3,0
777,41,4,2,1,3,1,0
778,34,3,21,5,4,2,0
779,109,3,17,1,4,3,0
780,109,2,28,3,4,4,1
781,50,5,25,5,4,4,1
782,7,5,2,1,4,2,0
783,13,1,8,2,3,2,0
784,63,4,58,2,3,3,0
785,1,3,0,1,3,1,0
786,109,5,103,2,1,1,0
787,58,1,12,4,4,1,0
788,25,2,15,5,3,2,0
789,22,1,17,1,4,4,1
790,77,1,69,5,1,3,0
791,70,2,50,2,3,3,0
792,60,4,17,1,4,2,0
793,75,3,52,3,2,1,0
794,112,1,13,5,2,2,0
795,78,1,34,2,2,4,1
796,106,3,23,1,2,2,0
797,100,3,95,1,4,3,0
798,26,4,23,4,4,4,1
799,38,1,22,4,1,3,0
800,2,4,0,2,4,1,0
801,91,5,29,2,1,2,0
802,118,4,68,2,3,1,0
803,67,3,62,3,1,2,0
804,78,3,70,4,4,4,1
805,105,2,69,2,3,2,0
806,15,3,10,1,4,3,0
807,81,5,30,3,2,2,0
808,55,2,37,4,4,3,0
809,76,3,56,5,2,2,0
810,90,1,74,2,4,3,0
811,48,1,10,1,2,4,1
812,103,3,89,1,4,2,0
813,109,4,59,3,4,4,1
814,14,3,6,1,3,1,0
815,103,2,16,4,2,3,0
816,83,2,20,2,1,2,0
817,97,2,60,5,3,2,0
818,26,2,9,2,4,2,0
819,102,5,33,4,2,1,0
820,56,3,32,1,1,1,0
821,54,4,11,2,4,1,0
822,61,3,22,2,4,3,0
823,3,1,2,2,4,3,0
824,15,1,1,2,3,3,0
825,73,1,1,5,2,2,0
826,70,1,31,4,2,4,1
827,117,5,19,1,1,3,0
828,32,1,1,3,2,1,0
829,36,4,9,2,2,4,1
830,103,5,76,4,2,3,0
831,48,2,48,4,1,4,1
832,16,1,8,1,1,3,0
833,26,4,21,3,3,2,0
834,22,1,6,1,4,1,0
835,55,5,40,2,2,1,0
836,15,4,3,3,3,1,0
837,115,5,9,2,4,4,1
838,40,2,29,1,2,4,1
839,20,1,15,4,1,2,0
840,114,1,50,1,4,4,1
841,92,4,59,4,1,3,0
842,58,5,38,5,2,1,0
843,120,2,67,5,1,1,0
844,85,1,56,1,4,3,0
845,62,5,58,3,4,1,0
846,86,3,10,5,2,4,1
847,94,2,80,1,4,1,0
848,83,5,53,1,4,4,1
849,79,2,37,1,4,1,0
850,7,2,5,5,2,2,0
851,97,5,70,1,1,1,0
852,98,3,3,1,3,1,0
853,103,1,74,5,3,3,0
854,94,4,30,4,4,4,1
855,21,3,19,1,4,3,0
856,15,3,3,1,4,1,0
857,58,5,44,4,3,3,0
858,19,5,10,2,4,2,0
859,103,4,97,5,1,1,0
860,15,2,3,4,1,1,0
861,7,2,5,5,2,3,0
862,43,5,19,2,3,2,0
863,65,4,9,1,1,4,1
864,13,4,5,1,3,1,0
865,91,2,30,2,3,4,1
866,119,4,30,4,3,4,1
